LocationDescription,YearMonth,DeliveredLitres,IssuedLitres,NetLitres
ST-264,2020-11,,1099,-1099
ST-265,2020-11,,26891,-26891
Stores LDV,2020-11,,31054,-31054
Ultra City,2020-11,1872035,1702038,169997
BULK137,2020-12,,21404,-21404
CHP-006,2020-12,,109009,-109009
CON-074,2020-12,,77447,-77447
DB HIBS JV,2020-12,,103661,-103661
DB-269,2020-12,,284981,-284981
DB-270,2020-12,,158565,-158565
DB-338,2020-12,,38348,-38348
DB-MCCA-126,2020-12,,411902,-411902
Nitro+,2020-12,3821175,3843440,-22265
North Concentrator,2020-12,,21457,-21457
ST-264,2020-12,,684,-684
ST-265,2020-12,,26914,-26914
Stores LDV,2020-12,,36989,-36989
Ultra City,2020-12,1753726,1987192,-233466
BULK137,2021-01,,59660,-59660
CHP-006,2021-01,,43574,-43574
CON-074,2021-01,,113390,-113390
DB HIBS JV,2021-01,,76829,-76829
DB-270,2021-01,,164356,-164356
DB-338,2021-01,,330312,-330312
DB-MCCA-126,2021-01,,399755,-399755
Nitro+,2021-01,4042053,4021221,20831
North Concentrator,2021-01,,18986,-18986
ST-264,2021-01,,890,-890
ST-265,2021-01,,25418,-25418
Stores LDV,2021-01,,31104,-31104
Ultra City,2021-01,2294751,2052124,242627
BULK137,2021-02,,50277,-50277
CHP-006,2021-02,,19032,-19032
CMND-004,2021-02,,25342,-25342
CON-074,2021-02,,120295,-120295
DB HIBS JV,2021-02,,85630,-85630
DB-269,2021-02,,22,-22
DB-270,2021-02,,85835,-85835
DB-338,2021-02,,444920,-444920
DB-MCCA-126,2021-02,,327123,-327123
Nitro+,2021-02,3438386,3680207,-241821
North Concentrator,2021-02,,14209,-14209
ST-264,2021-02,,1522,-1522
ST-265,2021-02,,24727,-24727
Stores LDV,2021-02,,38016,-38016
Ultra City,2021-02,1599494,1836099,-236605
BULK137,2021-03,,44949,-44949
CHP-006,2021-03,,87830,-87830
CMND-004,2021-03,,352952,-352952
CON-074,2021-03,,142340,-142340
DB HIBS JV,2021-03,,116342,-116342
DB-269,2021-03,,14692,-14692
DB-270,2021-03,,123607,-123607
DB-338,2021-03,,433724,-433724
DB-MCCA-126,2021-03,,491347,-491347
Nitro+,2021-03,3831721,4314612,-482890
North Concentrator,2021-03,,22309,-22309
ST-264,2021-03,,1278,-1278
ST-265,2021-03,,33614,-33614
Stores LDV,2021-03,,45880,-45880
Ultra City,2021-03,2304161,2214476,89685
BULK137,2021-04,,49711,-49711
CHP-006,2021-04,,102532,-102532
CMND-004,2021-04,,267085,-267085
CON-074,2021-04,,109358,-109358
DB HIBS JV,2021-04,,120358,-120358
DB-269,2021-04,,86216,-86216
DB-270,2021-04,,13348,-13348
DB-338,2021-04,,392581,-392581
DB-MCCA-126,2021-04,,484400,-484400
Nitro+,2021-04,3766294,3685055,81239
North Concentrator,2021-04,,16262,-16262
ST-264,2021-04,,415,-415
ST-265,2021-04,,24705,-24705
Stores LDV,2021-04,,38666,-38666
Ultra City,2021-04,2373318,2149388,223930
BULK137,2021-05,,45788,-45788
CHP-006,2021-05,,86388,-86388
CMND-004,2021-05,,231284,-231284
CON-074,2021-05,,130720,-130720
DB HIBS JV,2021-05,,121570,-121570
DB-269,2021-05,,112369,-112369
DB-270,2021-05,,107757,-107757
DB-338,2021-05,,467594,-467594
DB-MCCA-100,2021-05,,177,-177
DB-MCCA-126,2021-05,,444863,-444863
Nitro+,2021-05,4262949,4004626,258323
North Concentrator,2021-05,,21015,-21015
ST-250,2021-05,,744,-744
ST-264,2021-05,,1,-1
ST-265,2021-05,,22689,-22689
Stores LDV,2021-05,,42604,-42604
Ultra City,2021-05,1976966,2168908,-191942
BULK137,2021-06,,59587,-59587
CHP-006,2021-06,,76250,-76250
CMND-004,2021-06,,397998,-397998
CON-074,2021-06,,72276,-72276
DB HIBS JV,2021-06,,134365,-134365
DB-269,2021-06,,103689,-103689
DB-270,2021-06,,106562,-106562
DB-338,2021-06,,403625,-403625
DB-MCCA-126,2021-06,,487711,-487711
Nitro+,2021-06,3828801,3500869,327932
North Concentrator,2021-06,,19786,-19786
ST-250,2021-06,,1341,-1341
ST-265,2021-06,,16918,-16918
Stores LDV,2021-06,,36216,-36216
Ultra City,2021-06,2224270,2188809,35461
BULK137,2021-07,,62742,-62742
CHP-006,2021-07,,80635,-80635
CMND-004,2021-07,,408931,-408931
CON-074,2021-07,,89073,-89073
DB HIBS JV,2021-07,,111771,-111771
DB-269,2021-07,,93927,-93927
DB-270,2021-07,,189392,-189392
DB-338,2021-07,,286731,-286731
DB-MCCA-126,2021-07,,363665,-363665
Nitro+,2021-07,1095471,4363154,-3267684
North Concentrator,2021-07,,17516,-17516
ST-250,2021-07,,1935,-1935
ST-265,2021-07,,22099,-22099
Stores LDV,2021-07,,37225,-37225
Ultra City,2021-07,662767,2344813,-1682046
BULK137,2021-08,,67714,-67714
CHP-006,2021-08,,55419,-55419
CMND-004,2021-08,,444149,-444149
CON-074,2021-08,,88766,-88766
DB HIBS JV,2021-08,,108854,-108854
DB-269,2021-08,,81996,-81996
DB-270,2021-08,,218065,-218065
DB-338,2021-08,,254414,-254414
DB-MCCA-100,2021-08,,3651,-3651
DB-MCCA-126,2021-08,,197410,-197410
Nitro+,2021-08,3953748,3963951,-10203
North Concentrator,2021-08,,19991,-19991
ST-250,2021-08,,920,-920
ST-265,2021-08,,20453,-20453
Stores LDV,2021-08,,38278,-38278
Ultra City,2021-08,1092022,2083608,-991586
BULK137,2021-09,,58201,-58201
CHP-006,2021-09,,41262,-41262
CMND-004,2021-09,,434242,-434242
CON-074,2021-09,,58371,-58371
DB HIBS JV,2021-09,,119559,-119559
DB-269,2021-09,,70551,-70551
DB-270,2021-09,,174737,-174737
DB-338,2021-09,,261314,-261314
DB-MCCA-126,2021-09,,347609,-347609
Nitro+,2021-09,1707897,3945857,-2237960
North Concentrator,2021-09,,17837,-17837
ST-250,2021-09,,19775,-19775
ST-265,2021-09,,6306,-6306
Stores LDV,2021-09,,42995,-42995
Ultra City,2021-09,1715972,2097806,-381834
BULK137,2021-10,,42411,-42411
CHP-006,2021-10,,119914,-119914
CMND-004,2021-10,,149490,-149490
CON-074,2021-10,,88330,-88330
DB HIBS JV,2021-10,,125849,-125849
DB-269,2021-10,,333068,-333068
DB-270,2021-10,,103906,-103906
DB-338,2021-10,0,139711,-139711
DB-MCCA-126,2021-10,,325021,-325021
Nitro+,2021-10,39269,4567939,-4528670
North Concentrator,2021-10,39000,21982,17018
ST-250,2021-10,,10623,-10623
Stores LDV,2021-10,,41998,-41998
Ultra City,2021-10,856670,2007581,-1150911
BULK137,2021-11,,36321,-36321
CHP-006,2021-11,,83239,-83239
CMND-004,2021-11,,254072,-254072
CON-074,2021-11,,56133,-56133
DB HIBS JV,2021-11,,120973,-120973
DB-269,2021-11,,257654,-257654
DB-270,2021-11,,215006,-215006
DB-338,2021-11,0,148328,-148328
DB-MCCA-100,2021-11,,474,-474
DB-MCCA-126,2021-11,,93289,-93289
Nitro+,2021-11,314002,3767887,-3453886
North Concentrator,2021-11,,20549,-20549
ST-250,2021-11,,18483,-18483
Stores LDV,2021-11,,45950,-45950
Ultra City,2021-11,624530,1892077,-1267547
BULK137,2021-12,,39290,-39290
CHP-006,2021-12,,59040,-59040
CMND-004,2021-12,,4301,-4301
CON-074,2021-12,,36863,-36863
DB CSK001,2021-12,,51397,-51397
DB HIBS JV,2021-12,,98759,-98759
DB Kamo Jou,2021-12,,272,-272
DB-269,2021-12,,324555,-324555
DB-338,2021-12,0,629220,-629220
DB-MCCA-100,2021-12,,4516,-4516
DB-MCCA-126,2021-12,,108122,-108122
Nitro+,2021-12,,4086732,-4086732
North Concentrator,2021-12,,20796,-20796
ST-250,2021-12,,22711,-22711
Stores LDV,2021-12,,38245,-38245
Ultra City,2021-12,818489,1965000,-1146511
BULK137,2022-01,,31963,-31963
CHP-006,2022-01,,6850,-6850
CON-074,2022-01,,36162,-36162
DB CSK001,2022-01,,313246,-313246
DB HIBS JV,2022-01,,139729,-139729
DB Kamo Jou,2022-01,,109485,-109485
DB-269,2022-01,,246534,-246534
DB-270,2022-01,,44459,-44459
DB-338,2022-01,,382974,-382974
DB-MCCA-126,2022-01,,51214,-51214
Nitro+,2022-01,,4070179,-4070179
North Concentrator,2022-01,,18244,-18244
ST-250,2022-01,,13595,-13595
Stores LDV,2022-01,,37022,-37022
Ultra City,2022-01,116992,1947486,-1830494
BULK137,2022-02,,58491,-58491
DB CSK001,2022-02,,396027,-396027
DB CSK001,2022-02,,1857,-1857
DB HIBS JV,2022-02,,139819,-139819
DB Kamo Jou,2022-02,,150780,-150780
DB-269,2022-02,,59393,-59393
DB-270,2022-02,,84768,-84768
DB-338,2022-02,,490657,-490657
DB-MCCA-126,2022-02,,65851,-65851
Nitro+,2022-02,,3638857,-3638857
North Concentrator,2022-02,,17030,-17030
ST-250,2022-02,,13268,-13268
Stores LDV,2022-02,,37762,-37762
Ultra City,2022-02,311847,1850134,-1538287
BULK137,2022-03,,1647,-1647
DB CSK001,2022-03,,840,-840
DB CSK001,2022-03,,380001,-380001
DB CSK002,2022-03,,171927,-171927
DB HIBS JV,2022-03,,125177,-125177
DB Kamo Jou,2022-03,,265609,-265609
DB-269,2022-03,,102907,-102907
DB-270,2022-03,,365468,-365468
DB-338,2022-03,,319094,-319094
DB-MCCA-126,2022-03,,88021,-88021
Nitro+,2022-03,,3856957,-3856957
North Concentrator,2022-03,,21292,-21292
ST-250,2022-03,,9807,-9807
Stores LDV,2022-03,,39726,-39726
Ultra City,2022-03,38870,2305495,-2266625
BULK137,2022-04,,2589,-2589
CON-074,2022-04,,72091,-72091
DB CSK001,2022-04,,193418,-193418
DB CSK002,2022-04,,270869,-270869
DB HIBS JV,2022-04,,117840,-117840
DB Kamo Jou,2022-04,,117670,-117670
DB-269,2022-04,,190723,-190723
DB-270,2022-04,,180699,-180699
DB-338,2022-04,,439340,-439340
DB-MCCA-126,2022-04,,63753,-63753
Nitro+,2022-04,,4014445,-4014445
North Concentrator,2022-04,,17414,-17414
ST-250,2022-04,,17841,-17841
Stores LDV,2022-04,,33543,-33543
Ultra City,2022-04,,2061959,-2061959
BULK137,2022-05,,18905,-18905
CON-074,2022-05,,79572,-79572
DB CSK001,2022-05,,205311,-205311
DB CSK002,2022-05,,357221,-357221
DB HIBS JV,2022-05,,110552,-110552
DB Kamo Jou,2022-05,,72321,-72321
DB-269,2022-05,,313232,-313232
DB-270,2022-05,,363204,-363204
DB-338,2022-05,,212685,-212685
DB-MCCA-126,2022-05,,150254,-150254
Nitro+,2022-05,,4268851,-4268851
North Concentrator,2022-05,,19042,-19042
ST-250,2022-05,,16262,-16262
Stores LDV,2022-05,,41054,-41054
Ultra City,2022-05,312069,2482639,-2170570
BULK137,2022-06,,12491,-12491
CON-074,2022-06,,88930,-88930
DB CSK001,2022-06,,3210,-3210
DB CSK001,2022-06,,428588,-428588
DB CSK002,2022-06,,281025,-281025
DB HIBS JV,2022-06,,122650,-122650
DB Kamo Jou,2022-06,,44809,-44809
DB-269,2022-06,,413727,-413727
DB-270,2022-06,,80571,-80571
DB-338,2022-06,,290113,-290113
DB-MCCA-126,2022-06,,103112,-103112
Nitro+,2022-06,,3893381,-3893381
North Concentrator,2022-06,,26368,-26368
ST-250,2022-06,,20871,-20871
Stores LDV,2022-06,,31379,-31379
Ultra City,2022-06,117601,2240438,-2122837
BULK137,2022-07,,47476,-47476
CON-074,2022-07,,79659,-79659
DB CSK001,2022-07,,30253,-30253
DB CSK001,2022-07,,679457,-679457
DB CSK002,2022-07,,241379,-241379
DB HIBS JV,2022-07,,100510,-100510
DB Kamo Jou,2022-07,,36879,-36879
DB-269,2022-07,,436122,-436122
DB-338,2022-07,,370425,-370425
DB-MCCA-126,2022-07,,93136,-93136
Nitro+,2022-07,,3821368,-3821368
North Concentrator,2022-07,,24334,-24334
ST-250,2022-07,,14016,-14016
Stores LDV,2022-07,,20377,-20377
Ultra City,2022-07,116797,2244752,-2127955
BULK137,2022-08,,10418,-10418
CON-074,2022-08,,82309,-82309
DB CSK001,2022-08,,551147,-551147
DB CSK001,2022-08,,22417,-22417
DB CSK002,2022-08,,8208120,-8208120
DB HIBS JV,2022-08,,68048,-68048
DB Kamo Jou,2022-08,,48994,-48994
DB-269,2022-08,,306539,-306539
DB-270,2022-08,,12733,-12733
DB-338,2022-08,,326125,-326125
DB-MCCA-126,2022-08,,91171,-91171
Nitro+,2022-08,,3190813,-3190813
North Concentrator,2022-08,,23893,-23893
ST-250,2022-08,,10390,-10390
Stores LDV,2022-08,,24031,-24031
Ultra City,2022-08,39136,1848746,-1809610
